skill,impact,gate_text,gate_graph,text_score,graph_score
ssas,0.0007899999618530273,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
query optimization,0.0007251501083374023,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
reporting tools,0.000722736120223999,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data sources,0.000667273998260498,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
ms excel,0.0006640255451202393,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
financial reporting,0.000647813081741333,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
access,0.0006449520587921143,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
kpis,0.0006259679794311523,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
supply chain,0.0005919337272644043,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
reports,0.0005817413330078125,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
business needs,0.0005767941474914551,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
dax,0.0005539953708648682,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
views,0.0005523860454559326,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
insurance,0.0005385875701904297,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
business processes,0.0005139410495758057,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data analyst,0.0005017220973968506,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
business,0.0004819333553314209,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
pipelines,0.00044906139373779297,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
experience,0.0004430115222930908,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
marketing,0.00043958425521850586,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
microsoft,0.0004394650459289551,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
dashboards,0.0004125535488128662,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
excel,0.0004019439220428467,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
applications,0.0003483593463897705,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
power bi,0.00034803152084350586,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
accuracy,0.0003415048122406006,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data quality,0.0003300905227661133,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
feedback,0.00032967329025268555,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data warehouse,0.00032636523246765137,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
consulting,0.00032389163970947266,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data migration,0.0003165304660797119,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data management,0.0003076791763305664,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
ssrs,0.0003063678741455078,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data integration,0.00030165910720825195,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
customer relations,0.0002830326557159424,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data warehousing,0.0002810955047607422,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data analytics,0.00027614831924438477,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data analysis,0.00027436017990112305,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
procedures,0.0002728402614593506,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
ssis,0.00026869773864746094,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
azure data factory,0.0002655982971191406,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
etl,0.0002588033676147461,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
information technology,0.00025844573974609375,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
data pipelines,0.0002455413341522217,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
sales,0.00024256110191345215,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
backup,0.00022840499877929688,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
salesforce,0.00021600723266601562,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
business requirements,0.0002072453498840332,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
software,0.0001932680606842041,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
storage,0.0001919269561767578,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
azure,0.00017714500427246094,0.7559598684310913,0.2440401017665863,0.6125843524932861,0.0842115581035614
